batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss
16,0.0344634940376027,Adam,0.51870317076492,0.0004885990899519,45,0.4,25.65303611755371,0.6403940886699507,0.4,44.645355224609375,10,7,5,8,1.1022969086964924
16,0.0053254515413425,Adam,0.6124299520717615,0.0139472108448639,49,0.3101123595505618,0.6049813032150269,0.6921348314606741,0.4134831460674157,0.8548693656921387,308,137,137,308,0.5824550486527956
64,0.0117205290912351,SGD,0.7045207712046747,6.652276718880673e-05,19,0.148314606741573,5.217109680175781,0.8510969079288305,0.7078651685393259,5.361312389373779,379,67,66,378,0.0097593072515267
32,1.4609861014506636e-05,Adam,0.5254112239995938,0.0011454382852799,11,0.2426966292134831,3.929764032363892,0.7573033707865169,0.5258426966292135,4.002398490905762,337,108,108,337,0.2285807239321562
64,0.0145718648800573,Adam,0.8597535634189746,0.0035455406569334,45,0.3213483146067415,1.7243082523345947,0.6804283986871653,0.4112359550561797,1.9992014169692995,303,143,142,302,0.5383621855424001
32,0.0070865242391679,Adam,0.6137648522299146,0.0198907758485464,41,0.3730337078651685,0.6995844841003418,0.6283445537717935,0.2921348314606742,1.19775652885437,280,167,165,278,0.6117286086082458
16,0.003229077080512,SGD,0.6388012774188291,0.0002308260743178,35,0.1730337078651685,4.764930248260498,0.826394886854379,0.6606741573033708,4.73268985748291,368,78,77,367,0.0207215214004883
32,0.0016722478920663,SGD,0.7000587210066765,0.0035798731768019,19,0.2224719101123595,4.125535488128662,0.7797752808988764,0.5865168539325842,4.237760066986084,347,98,98,347,0.1338890649951421
16,0.0006367812544335,Adam,0.5559595720140439,6.285189596174964e-05,42,0.0404494382022471,8.16023063659668,0.9611331836241148,0.9303370786516854,8.42788028717041,428,18,17,427,0.0080443350168374
16,3.030174470103824e-05,Adam,0.6243148194095065,2.7479494613300443e-05,50,0.1438202247191011,4.93490743637085,0.8555881844878217,0.7168539325842697,4.958276748657227,381,65,64,380,0.0052555305740007
16,0.0070929819323513,Adam,0.6165526842525954,0.0001290329091292,38,0.2359550561797752,6.150877952575684,0.7662921348314606,0.5460674157303371,6.266882419586182,341,104,104,341,0.2873777042214687
64,0.0020659101089515,Adam,0.8490296400568598,0.000626515877627,41,0.2067415730337078,3.564469575881958,0.7949559509414407,0.6089887640449438,4.051604270935059,354,92,91,353,0.1885800724705824
64,1.0045884755653772e-05,SGD,0.6486990745586041,7.494431319611453e-05,28,0.3640449438202247,3.413329601287842,0.63507681684792,0.2898876404494382,3.4460091590881348,283,164,162,281,0.7034731057974009
