Data Source,Language,Seed,Person ID/Name,Class,Image ID,Image File
CEDAR,English,random_seeds_123,person_001,FORGED,1,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_1.png
CEDAR,English,random_seeds_123,person_001,FORGED,10,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_10.png
CEDAR,English,random_seeds_123,person_001,FORGED,2,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_2.png
CEDAR,English,random_seeds_123,person_001,FORGED,3,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_3.png
CEDAR,English,random_seeds_123,person_001,FORGED,4,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_4.png
CEDAR,English,random_seeds_123,person_001,FORGED,5,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_5.png
CEDAR,English,random_seeds_123,person_001,FORGED,6,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_6.png
CEDAR,English,random_seeds_123,person_001,FORGED,7,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_7.png
CEDAR,English,random_seeds_123,person_001,FORGED,8,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_8.png
CEDAR,English,random_seeds_123,person_001,FORGED,9,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/forge/Cedar_person001_forge_9.png
CEDAR,English,random_seeds_123,person_001,TRUE,1,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/true/Cedar_person001_true_1.png
CEDAR,English,random_seeds_123,person_001,TRUE,10,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/true/Cedar_person001_true_10.png
CEDAR,English,random_seeds_123,person_001,TRUE,2,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/true/Cedar_person001_true_2.png
CEDAR,English,random_seeds_123,person_001,TRUE,3,../preprocessing/preprocessed_dataset/sampled/CEDAR_Sampled/random_seeds_123/person_001/true/Cedar_person001_true_3.png
